Date,sma_5,sma_10,sma_20,sma_50,ema_12,ema_26,macd,macd_signal,macd_histogram,rsi,bb_middle,bb_upper,bb_lower,bb_width,bb_position,volume_sma,volume_ratio,price_change,price_change_5d,price_change_10d,volatility_10d,volatility_20d,hl_spread,hl_spread_avg,support,resistance,support_distance,resistance_distance,day_of_week,month,quarter,target
2022-03-11 00:00:00-05:00,0.16306785232064933,0.28313650760070835,0.3745632710288297,0.6944216761834242,0.2839173443419071,0.4306191310063865,-1.706999569825309,-1.6666186203628826,-0.4155632297884341,-0.928237795828908,0.3745632710288297,0.4276142959564122,0.31928241592387757,0.3121576799166662,-1.4790397928930779,1.284454399021594,-0.4365703772265969,-1.070824767731977,-1.2374174137499392,-1.2864573699745894,0.5974589102512595,0.5043850212647434,0.9889960669591168,0.9126791540056397,0.28094245446008803,0.4967964070440523,-0.8042487800631313,1.031019594141425,1.417230637279353,-1.0190533967514268,-1.3410112378278243,-0.6749092218675372
2022-03-14 00:00:00-04:00,0.1536182909520851,0.24912390873136986,0.3536055698381382,0.6731231674074535,0.25459938900089746,0.40755782218409164,-1.7872486242021646,-1.7087574067941544,-0.5432359377803055,-0.8879616347606378,0.3536055698381382,0.419555372362593,0.28662803453425173,0.41113196644055305,-1.5964716158019854,1.3069085437329986,0.20225075017073849,-0.6376217166952892,-0.3924250983959891,-1.4152366001072763,0.6000315531800715,0.453267286213109,0.8785372825636074,0.9627910338654343,0.28094245446008803,0.43190779195691364,-1.032304040522139,1.0141044228526594,-1.4518622130023446,-1.0190533967514268,-1.3410112378278243,1.678499043634617
2022-03-15 00:00:00-04:00,0.18460463336694616,0.24170431623014318,0.34172220658399427,0.6554079411373018,0.2531869719677999,0.39763804401351094,-1.685552192942502,-1.7209521666804215,-0.18555918045680606,-0.2539711966895834,0.34172220658399427,0.4018740392602919,0.2803339956403018,0.3710315857594137,-0.7635932707278535,1.3619004395434287,-0.02572461566467783,1.6165005473470235,0.7026471378312159,-0.4533825576807861,0.7716063337316049,0.5711317186190072,0.7558025703551309,0.9161351434614249,0.28094245446008803,0.43190779195691364,-0.38818555495025864,0.5151891190243745,-0.7345890004319202,-1.0190533967514268,-1.3410112378278243,1.7581052624003992
2022-03-16 00:00:00-04:00,0.21161593648562138,0.23684703925521317,0.3320589561020048,0.6399796888472773,0.2769762786359673,0.40066307009534585,-1.4324407635251033,-1.6771563051713958,0.4832401164947011,-0.1435664582808703,0.3320589561020048,0.3656865513184017,0.2955445138306472,0.17837485886945123,0.17697885600993163,1.4923485923513942,0.8008849215564156,1.69274832496664,0.5764554922609291,-0.3555536492212213,0.8328970849139422,0.6264714374779424,1.3351517623385305,1.004304009196751,0.28094245446008803,0.43190779195691364,0.2705288234901657,0.0049682642947064095,-0.017315787861495804,-1.0190533967514268,-1.3410112378278243,0.9388537917674391
2022-03-17 00:00:00-04:00,0.2630008844138065,0.2450067551697178,0.3266524638589391,0.6265500424214459,0.3111966494682124,0.41035033625680545,-1.132289277830886,-1.5786155174956558,1.137159776958384,-0.2897475127242044,0.3266524638589391,0.33928431283477134,0.3097923918557703,0.02541194123233335,0.8122670713842147,1.541048301113421,-0.5594870109018194,0.9080595793404571,1.2269444173818276,0.11754031849392868,0.8751013880049928,0.6608943432331249,0.5195363595582752,1.0196230045750896,0.28094245446008803,0.3728244018528118,0.6294710314416967,-0.4410173036993167,0.6999574247089286,-1.0190533967514268,-1.3410112378278243,0.8828933830846034
2022-03-18 00:00:00-04:00,0.3504077192475519,0.2677433464255673,0.33372516599171587,0.6181990267955851,0.3536253403560976,0.4259043408766956,-0.8026011017490138,-1.4300296081088002,1.7349410014236075,-0.07124741857853968,0.33372516599171587,0.3694642879063441,0.29521662145583577,0.19352700862259864,1.175613295659939,1.800637292571552,2.454982064122474,0.8544600382128359,2.214241076674741,0.6549896955801726,0.8697732520247173,0.5945714116139657,0.43976242842752,1.0676961526850977,0.28094245446008803,0.38930197174085557,0.9645774743714495,-0.6523430540503632,1.417230637279353,-1.0190533967514268,-1.3410112378278243,-0.10460201756949919
2022-03-21 00:00:00-04:00,0.44769649682445456,0.31179226686499395,0.34331160360595936,0.6099391082253444,0.38901853806836106,0.44005793394797127,-0.541707349651142,-1.2559626779826432,2.0393078459302525,0.21063622613790442,0.34331160360595936,0.4028036196743992,0.28251366304779246,0.36586214678962004,0.9946125562827901,1.8118678362872058,-0.8388808222859955,-0.09137473294993508,2.4997450905679424,1.486480489505697,0.39040206909843655,0.5806107569605077,-0.008550954136986904,0.8332910234124851,0.28094245446008803,0.4181471948536299,0.9520824355266618,-0.5616270307419726,-1.4518622130023446,-1.0190533967514268,-1.3410112378278243,0.8536544292320829
2022-03-22 00:00:00-04:00,0.5318441457361988,0.36952875681488845,0.3609676851850359,0.6041216038892328,0.43217238590927726,0.45961682745619453,-0.25119239526411746,-1.0552438700090407,2.357660397172116,0.11343911563354529,0.3609676851850359,0.4583139462609953,0.26461079862480874,0.640017332826481,1.1706726604804099,1.7863838886099808,-0.9349641629678812,0.8264546224834851,2.095646632865945,2.020103755087471,0.29941705082081815,0.5685667254624912,-0.14142687137177742,0.6065233007594397,0.28094245446008803,0.4891571823594448,1.2734058051658528,-0.6126901139335927,-0.7345890004319202,-1.0190533967514268,-1.3410112378278243,-1.070961594489829
2022-03-23 00:00:00-04:00,0.5650697355521344,0.3997358809096841,0.3806629545992669,0.5965938789767856,0.4541878262498351,0.4706410126997301,-0.1155176706877002,-0.8659636481443123,2.2210282584836647,-0.03215487531921811,0.3806629545992669,0.4846701005965385,0.27779078889693826,0.6848410288676576,0.6220123836199417,1.7692520329764818,-1.1227433175431238,-1.0169653622247192,0.7246825044810059,0.9424268483105448,0.27469175954231406,0.5221185531227105,-0.3222955627380748,0.5030130167529974,0.28094245446008803,0.4891571823594448,0.9202154652436755,-0.33714187255483197,-0.017315787861495804,-1.0190533967514268,-1.3410112378278243,1.101798511785781
2022-03-24 00:00:00-04:00,0.6017096870618039,0.443877916317084,0.40041965763642723,0.5898096125041284,0.48955465007891824,0.48902871255254265,0.09431467152867819,-0.6701445089178937,2.29913461317917,0.323618139294608,0.40041965763642723,0.5318650651943407,0.271664606551858,0.8821261620075478,0.9346530049886356,1.5873013953815083,-1.434996534663684,1.0641299588770576,0.8017250245333147,1.4670995413577264,0.273200756185051,0.5190111031186563,-0.07995715050855726,0.4831882794906198,0.3517294046321629,0.4891571823594448,1.0291603268393912,-0.6546391319738086,0.6999574247089286,-1.0190533967514268,-1.3410112378278243,0.3444403370865076
